record_id,college
2,Liberal Arts & Sciences
3,Graduate College
4,Liberal Arts & Sciences
5,Gies Business
5,Graduate College
6,Liberal Arts & Sciences
7,Grainger Engineering
8,Liberal Arts & Sciences
9,Fine & Applied Arts
10,Gies Business
11,ACES
13,Gies Business
16,iSchool
17,Graduate College
17,Grainger Engineering
20,Carle Medicine
21,Grainger Engineering
23,Media
24,Liberal Arts & Sciences
25,Gies Business
26,Fine & Applied Arts
27,Fine & Applied Arts
27,ACES
27,Law
28,Grainger Engineering
30,Fine & Applied Arts
31,Fine & Applied Arts
31,ACES
31,Media
31,Gies Business
32,Liberal Arts & Sciences
33,Liberal Arts & Sciences
34,Fine & Applied Arts
34,Gies Business
35,Liberal Arts & Sciences
37,ACES
38,Fine & Applied Arts
41,Grainger Engineering
43,iSchool
45,Gies Business
46,Gies Business
48,Liberal Arts & Sciences
50,Graduate College
51,Fine & Applied Arts
51,ACES
52,Liberal Arts & Sciences
54,Veterinary Medicine
55,Carle Medicine
61,Veterinary Medicine
63,iSchool
67,Fine & Applied Arts
67,Gies Business
67,Grainger Engineering
71,iSchool
72,Fine & Applied Arts
73,Liberal Arts & Sciences
74,Liberal Arts & Sciences
75,Gies Business
76,Liberal Arts & Sciences
78,Fine & Applied Arts
79,Fine & Applied Arts
81,Fine & Applied Arts
82,Liberal Arts & Sciences
83,Liberal Arts & Sciences
84,Liberal Arts & Sciences
85,Fine & Applied Arts
86,Fine & Applied Arts
87,Liberal Arts & Sciences
88,Fine & Applied Arts
89,Liberal Arts & Sciences
90,Grainger Engineering
95,Graduate College
97,ACES
98,Media
104,Fine & Applied Arts
104,Grainger Engineering
105,ACES
107,Grainger Engineering
108,ACES
109,Liberal Arts & Sciences
110,Fine & Applied Arts
113,Liberal Arts & Sciences
117,iSchool
125,Liberal Arts & Sciences
128,Liberal Arts & Sciences
128,Grainger Engineering
129,Liberal Arts & Sciences
130,Grainger Engineering
131,Liberal Arts & Sciences
136,Liberal Arts & Sciences
138,Liberal Arts & Sciences
139,Gies Business
141,Grainger Engineering
142,Gies Business
145,Fine & Applied Arts
152,Gies Business
153,Liberal Arts & Sciences
157,Liberal Arts & Sciences
158,Liberal Arts & Sciences
162,Fine & Applied Arts
164,Graduate College
164,Grainger Engineering
165,Graduate College
165,Grainger Engineering
167,Gies Business
168,Graduate College
168,Grainger Engineering
170,Fine & Applied Arts
175,Liberal Arts & Sciences
176,Gies Business
177,Liberal Arts & Sciences
179,Grainger Engineering
181,Gies Business
187,Fine & Applied Arts
191,Grainger Engineering
193,Graduate College
196,ACES
197,Liberal Arts & Sciences
199,Liberal Arts & Sciences
204,Grainger Engineering
223,Liberal Arts & Sciences
226,Gies Business
227,Liberal Arts & Sciences
229,Fine & Applied Arts
229,ACES
229,Law
230,Liberal Arts & Sciences
238,Liberal Arts & Sciences
239,Social Work
240,Liberal Arts & Sciences
241,Veterinary Medicine
255,Liberal Arts & Sciences
256,Liberal Arts & Sciences
256,Grainger Engineering
258,Law
263,Gies Business
265,Social Work
267,Gies Business
271,Grainger Engineering
279,Applied Health Sciences
290,Liberal Arts & Sciences
291,Media
291,Gies Business
295,Grainger Engineering
304,Liberal Arts & Sciences
305,Social Work
312,Fine & Applied Arts
325,Liberal Arts & Sciences
337,Education
340,Fine & Applied Arts
345,Fine & Applied Arts
349,Media
352,ACES
357,Liberal Arts & Sciences
363,Liberal Arts & Sciences
368,Fine & Applied Arts
370,Grainger Engineering
371,Grainger Engineering
372,Grainger Engineering
375,Liberal Arts & Sciences
376,Liberal Arts & Sciences
379,Liberal Arts & Sciences
397,ACES
398,Liberal Arts & Sciences
398,Grainger Engineering
399,Education
399,Graduate College
401,Liberal Arts & Sciences
402,Fine & Applied Arts
403,Education
406,Fine & Applied Arts
406,Grainger Engineering
416,Education
426,General Studies
427,Grainger Engineering
428,iSchool
430,Fine & Applied Arts
434,Applied Health Sciences
436,Fine & Applied Arts
437,Fine & Applied Arts
445,iSchool
448,Law
449,Liberal Arts & Sciences
449,Grainger Engineering
450,ACES
451,Liberal Arts & Sciences
452,Liberal Arts & Sciences
454,Fine & Applied Arts
458,Grainger Engineering
459,Liberal Arts & Sciences
462,Liberal Arts & Sciences
465,Fine & Applied Arts
465,Gies Business
466,Gies Business
469,Liberal Arts & Sciences
470,Carle Medicine
473,Fine & Applied Arts
482,Liberal Arts & Sciences
485,Grainger Engineering
486,Applied Health Sciences
489,Fine & Applied Arts
490,Liberal Arts & Sciences
492,Grainger Engineering
496,Graduate College
496,iSchool
502,Liberal Arts & Sciences
505,Veterinary Medicine
510,Carle Medicine
510,Grainger Engineering
516,Law
519,Fine & Applied Arts
520,Grainger Engineering
526,Liberal Arts & Sciences
528,Liberal Arts & Sciences
529,Liberal Arts & Sciences
529,Gies Business
540,Liberal Arts & Sciences
543,Liberal Arts & Sciences
544,Liberal Arts & Sciences
547,Grainger Engineering
550,Grainger Engineering
554,Veterinary Medicine
561,Media
561,iSchool
562,Grainger Engineering
562,iSchool
565,Liberal Arts & Sciences
566,Fine & Applied Arts
566,ACES
571,Liberal Arts & Sciences
