zip_code,respondent_count
61801,127
61821,82
61822,76
61820,71
61802,50
61874,19
61853,12
61832,4
61856,4
61920,4
61866,3
61873,3
60004,2
60540,2
61761,2
60613,2
61065,2
60957,2
62704,2
61854,2
61910,2
61884,2
46530,1
60010,1
60025,1
60030,1
60056,1
48185,1
48761,1
49009,1
20905,1
60609,1
60608,1
60601,1
60565,1
60558,1
60516,1
60446,1
60439,1
60302,1
60423,1
60416,1
60304,1
60134,1
60190,1
60126,1
60108,1
60005,1
60089,1
60067,1
60060,1
61107,1
61032,1
60948,1
60952,1
61704,1
61701,1
61571,1
61525,1
60657,1
60660,1
60646,1
60625,1
61846,1
61849,1
61842,1
61843,1
61840,1
61834,1
61756,1
60647,1
61875,1
61863,1
61864,1
61880,1
61877,1
61919,1
61944,1
61865,1
61953,1
62002,1
62088,1
62035,1
62401,1
62441,1
62521,1
62095,1
62522,1
62540,1
62821,1
62822,1
62912,1
6821,1
77401,1
94303,1
